,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Rain in Last 3 Hours (inches),Snow in Last 3 Hours (inches),Weather Description,Hotel Name
289,Ambulu,ID,2019-10-22 06:26:51,-8.35,113.61,77.99,84,6,14.23,0.0,0.0,clear sky,Hotel Ambulu Jember
290,Anloga,GH,2019-10-22 06:26:51,5.79,0.9,77.0,94,20,4.7,0.0,0.0,few clouds,Pin Drop Hotel
291,Kailua,US,2019-10-22 06:26:51,21.39,-157.74,82.4,65,75,16.11,0.0,0.0,broken clouds,Sheffield House Bed & Breakfast
295,Beloha,MG,2019-10-22 06:26:53,-25.17,45.06,85.17,31,0,9.08,0.0,0.0,clear sky,
297,Sola,TZ,2019-10-22 06:23:58,-3.17,33.8,75.87,51,0,7.85,0.0,0.0,clear sky,Peace Hotel
298,Las Palmas,CO,2019-10-22 06:26:54,9.27,-75.33,76.08,88,97,1.01,0.0,0.0,overcast clouds,Braingym Park S.A.S
303,Nokaneng,BW,2019-10-22 06:26:55,-19.66,22.19,82.54,13,52,7.85,0.0,0.0,broken clouds,
307,Kyaikkami,MM,2019-10-22 06:26:56,16.08,97.57,83.16,73,4,4.74,0.0,0.0,clear sky,Kyaikkhami Shu Khinn Thar Guest House
308,Tanout,NE,2019-10-22 06:26:57,14.97,8.88,83.37,43,0,4.43,0.0,0.0,clear sky,
317,Tirumullaivasal,IN,2019-10-22 06:27:00,11.24,79.84,79.68,79,100,10.38,0.0,0.0,overcast clouds,Hajaali
318,Lynwood,US,2019-10-22 06:27:00,33.93,-118.21,75.2,46,1,1.14,0.0,0.0,very heavy rain,Travelodge by Wyndham Lynwood
319,Tuburan,PH,2019-10-22 06:27:01,10.73,123.82,89.6,59,40,10.29,0.0,0.0,scattered clouds,Dayangs Pension Haus
323,Moranbah,AU,2019-10-22 06:22:42,-22.0,148.04,85.5,24,1,18.37,0.0,0.0,clear sky,Direct Hotels - Monterey Moranbah
326,Amalapuram,IN,2019-10-22 06:27:03,16.58,82.0,78.8,88,90,6.93,0.0,0.0,moderate rain,Surya Residency
327,Tautira,PF,2019-10-22 06:27:03,-17.73,-149.15,80.01,74,2,4.0,0.0,0.0,clear sky,Pension Oaoa
333,San Quintin,PH,2019-10-22 06:23:53,17.54,120.52,84.92,67,0,7.38,0.0,0.0,clear sky,San Quintin River Resort
336,Ciudad Dario,NI,2019-10-22 06:27:08,12.73,-86.12,75.2,94,40,6.93,0.0,0.0,light intensity drizzle,Hostal Doña Mina
339,Mazagao,BR,2019-10-22 06:27:08,-0.12,-51.29,80.6,100,7,6.93,0.0,0.0,clear sky,Casa Lima Santos
342,Clarence Town,AU,2019-10-22 06:27:09,-32.59,151.78,82.99,53,0,10.29,0.0,0.0,clear sky,River Downs Cottage
348,Xiongzhou,CN,2019-10-22 06:27:11,32.34,118.83,75.0,52,20,8.95,0.0,0.0,few clouds,Dijing International Hotel
