City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Galveston,US,2019-10-21 03:12:04,40.58,-86.19,57.99,76,90,7.36
97,Tasiilaq,GL,2019-10-21 03:12:05,65.61,-37.64,28.4,74,0,3.36
98,Esperance,AU,2019-10-21 03:12:06,-33.86,121.89,66.2,77,90,14.99
99,Nikki,BJ,2019-10-21 03:12:08,9.94,3.21,69.31,97,23,3.47
100,College,US,2019-10-21 03:12:09,64.86,-147.8,36.0,69,75,2.95
101,Bandarbeyla,SO,2019-10-21 03:12:10,9.49,50.81,74.15,76,14,6.85
102,Iqaluit,CA,2019-10-21 03:07:22,63.75,-68.52,30.2,86,90,13.87
103,Escarcega,MX,2019-10-21 03:12:10,18.61,-90.75,79.55,76,16,4.38
104,Kribi,CM,2019-10-21 03:12:11,2.94,9.91,79.05,79,79,2.57
105,Thompson,CA,2019-10-21 03:12:11,55.74,-97.86,37.4,93,90,13.87
106,Constitucion,MX,2019-10-21 03:12:12,23.99,-104.67,66.2,88,90,8.05
107,Namibe,AO,2019-10-21 03:12:12,-15.19,12.15,69.35,85,20,4.79
108,Danilov,RU,2019-10-21 03:12:13,58.19,40.17,46.4,100,90,7.36
109,Nouadhibou,MR,2019-10-21 03:12:13,20.93,-17.03,68.0,88,19,18.34
110,Sur,OM,2019-10-21 03:12:14,22.57,59.53,79.41,39,0,2.8
111,Port Alfred,ZA,2019-10-21 03:12:14,-33.59,26.89,64.0,84,72,5.99
112,Seoul,KR,2019-10-21 03:12:14,37.57,126.98,69.8,63,1,3.36
113,Senekal,ZA,2019-10-21 03:12:15,-28.32,27.62,52.95,27,17,4.25
114,Haines Junction,CA,2019-10-21 03:12:15,60.75,-137.51,21.9,85,0,2.21
115,Namatanai,PG,2019-10-21 03:12:16,-3.66,152.44,83.75,69,77,8.75
116,Ghatanji,IN,2019-10-21 03:12:16,20.14,78.32,73.76,85,100,7.31
117,Fort Dodge,US,2019-10-21 03:12:17,42.5,-94.17,55.99,71,90,14.99
118,Uige,AO,2019-10-21 03:12:17,-7.61,15.06,65.78,99,40,2.24
119,Kargopol,RU,2019-10-21 03:12:18,61.51,38.95,38.55,95,100,5.68
120,Provideniya,RU,2019-10-21 03:12:18,64.42,-173.23,33.8,64,90,15.66
121,Hambantota,LK,2019-10-21 03:12:19,6.12,81.12,78.8,100,75,4.7
122,Chadan,RU,2019-10-21 03:12:19,51.29,91.58,29.51,49,100,6.51
123,Bilma,NE,2019-10-21 03:12:20,18.69,12.92,85.82,18,50,12.68
124,Geilo,NO,2019-10-21 03:12:20,60.53,8.21,27.0,88,0,6.11
125,Acapulco,MX,2019-10-21 03:12:21,16.86,-99.88,80.6,88,40,2.71
126,Kapaa,US,2019-10-21 03:12:22,22.08,-159.32,84.2,78,75,5.82
127,Pisco,PE,2019-10-21 03:12:22,-13.71,-76.2,62.6,82,0,8.05
128,Touros,BR,2019-10-21 03:12:22,-5.2,-35.46,78.8,74,75,9.17
129,Kununurra,AU,2019-10-21 03:12:23,-15.77,128.74,96.8,28,40,6.93
130,Ozerne,UA,2019-10-21 03:12:24,50.18,28.74,52.21,79,2,7.96
131,La Ronge,CA,2019-10-21 03:12:24,55.1,-105.3,33.8,80,90,8.05
132,Los Llanos De Aridane,ES,2019-10-21 03:12:25,28.66,-17.92,66.2,77,90,8.05
133,Castro,CL,2019-10-21 03:10:21,-42.48,-73.76,42.8,87,75,4.7
134,Hofn,IS,2019-10-21 03:12:25,64.25,-15.21,35.27,99,100,10.92
135,Kaitong,CN,2019-10-21 03:12:26,44.81,123.15,57.36,14,0,13.27
136,Fort Nelson,CA,2019-10-21 03:12:26,58.81,-122.69,35.6,93,90,2.24
137,Lebu,ET,2019-10-21 03:12:26,8.96,38.73,51.8,81,40,3.15
138,Abu Dhabi,AE,2019-10-21 03:12:27,24.47,54.37,80.6,78,0,5.82
139,Salinopolis,BR,2019-10-21 03:12:27,-0.61,-47.36,81.23,82,100,13.13
140,Lompoc,US,2019-10-21 03:12:28,34.64,-120.46,70.0,45,1,3.36
141,Batemans Bay,AU,2019-10-21 03:12:28,-35.71,150.18,73.99,29,0,1.99
142,Ojinaga,US,2019-10-21 03:12:28,29.56,-104.41,73.4,31,1,8.05
143,Cockburn Town,TC,2019-10-21 03:12:29,21.46,-71.14,83.78,79,100,16.71
144,Husavik,CA,2019-10-21 03:12:29,50.56,-96.99,48.0,84,100,7.2
145,Nyurba,RU,2019-10-21 03:12:30,63.29,118.35,23.21,85,100,7.09
146,Bowen,AU,2019-10-21 03:12:30,-20.01,148.25,84.99,51,40,23.04
147,Severo-Kurilsk,RU,2019-10-21 03:12:31,50.68,156.12,42.17,71,0,12.3
148,Tuatapere,NZ,2019-10-21 03:12:31,-46.13,167.69,46.99,85,100,11.99
149,Walvis Bay,NA,2019-10-21 03:12:32,-22.95,14.51,60.01,93,0,10.29
150,Hauterive,CA,2019-10-21 03:12:32,49.18,-68.27,35.6,100,40,4.7
151,Ndjole,GA,2019-10-21 03:12:32,-0.18,10.76,70.23,98,85,1.23
152,Salinas,US,2019-10-21 03:12:33,36.67,-121.66,64.4,63,1,2.26
153,Purpe,RU,2019-10-21 03:12:33,64.48,76.69,27.0,88,100,18.81
154,Morazan,HN,2019-10-21 03:12:34,15.32,-87.6,66.2,144,20,4.7
155,Vila Velha,BR,2019-10-21 03:12:35,-3.71,-38.6,79.0,74,40,8.05
156,Auki,NG,2019-10-21 03:12:35,12.18,6.51,72.06,88,0,5.64
157,Port Elizabeth,US,2019-10-21 03:12:35,39.31,-74.98,57.99,93,90,16.11
158,Kahului,US,2019-10-21 03:12:36,20.89,-156.47,87.8,55,1,4.7
